	genre	lyrics
76301	Rock	"Hey, if you were right I'd chase away
All the reason for my old desire to change
But the right words, don't improvise the ideals
My body sails into a passage waiting in vain
It might just be so uninviting, is it comical
From until now I've gone to something else
I'll never forget how I once saw myself
If not for the way I'd changed, if not for the way
Say, every hour is always the same
Gazing endlessly to the usual clouds I'd always collect
As the town slips with the hatfull by the sunset
And paralyze the aspirations of the day
The rightous become the silenced
The fallen ones, they'll never find that road that's fallen them
I'll never forget how I once saw myself
If not for the way I'd changed, if not for the way
It's not quite the same
I'll never forget how I once saw myself
If not for the way I'd changed, if not for the way
It's not quite the same"
293332	Rock	"There's something about the way we fit
There's something about this psycho trip
There's something about the way we groove
Something's got me and I just can't seem to choose
I want you
I hate you
The one I love I hate
But the sex is great
The one I love I hate
But the sex is great
The one I love I hate
So I contemplate
The one I love I hate
But the sex is great
There's something about the way we slide
There's something about this psycho ride
There's something about the things we do
Something's got me and I just can't seem to choose
I want you
I hate you
The one I love I hate
But the sex is great
The one I love I hate
But the sex is great
The one I love I hate
So I contemplate
The one I love I hate
But the sex is great
One, two, fuck you
Never say no
I'm ready to go
We're out of control
But I can't let you go, let you go
There's something about the way we fit
There's something about this psycho bitch
The one I love I hate
But the sex is great
The one I love I hate
But the sex is great
The one I love I hate
I could suffocate
The one I love I hate
But the sex is great
I love to hate you
She know I love to hate you
She know I love to hate you
She know I love to hate you, hate you, hate you
Bitch"
70683	Electronic	"One drop in the ocean
Could be that magic potion
One love, two hearts
You've got to tear your doubt apart
I just couldn't fake an emotion
Faking is poison, my love
This is the one shot
The magic potion
The magic potion
The magic potion..."
209590	Rock	"I'm so tired of being here
Suppressed by all my childish fears
And if you have to leave
I wish that you would just leave
'Cause your presence still lingers here
And it won't leave me alone
These wounds won't seem to heal, this pain is just too real
There's just too much that time cannot erase
When you cried, I'd wipe away all of your tears
When you'd scream, I'd fight away all of your fears
And I held your hand through all of these years
But you still have all of me
You used to captivate me by your resonating light
Now, I'm bound by the life you left behind
Your face it haunts my once pleasant dreams
Your voice it chased away all the sanity in me
These wounds won't seem to heal, this pain is just too real
There's just too much that time cannot erase
When you cried, I'd wipe away all of your tears
When you'd scream, I'd fight away all of your fears
And I held your hand through all of these years
But you still have all of me
I've tried so hard to tell myself that you're gone
But though you're still with me, I've been alone all along
When you cried, I'd wipe away all of your tears
When you'd scream, I'd fight away all of your fears
And I held your hand through all of these years
You still have all of me, me, me"
116010	Hip-Hop	"Yeah, what, Vast Aire,; Shell Shock..
It's that gravy, you know what I'm saying?
This goes out to my beloved Family of Atoms
(That's my word, I love them)
This goes out the Indelible MC's - you know they STAY unmovable
This goes out to Bay of Pigs Hail rock
Power Kingdom, last but not least
Golden Money Clan, You know T-1, a.k.a. Shell Shock, c'mon
And I'm Vast Aire - 'nuff said
Now, let us build upon this issue
If the Highway to Heaven is narrow, then sinners acts as fat tissue
And as one can see, I have no space!
But I remain on the positive scale-weight of the galaxy
What, you wanna fix fallacy?
You can run around the world twice chasin' chastity
What in the Hell possessed you? Don't you know I m Cannibal?
That means when I'm rhyming that I get down to the bone gristle
I start lickin' my fingertips in the cipher
See, naturally, I'm higher than
That's right, above any (any) homegrown
THC Herbal[???]provider
But that's beside the point
Tell me who's gonna hold the weight?
I can't wait any longer
I'm ready to hold plates with Jehovah
Using Neptune's fork, telling Zeus to move over
I'm here before dinner
Clearing the Periodic Table of Elements off
Then I'm supplying a tablecloth
Yo, you can catch me, analog mic hog
I can't feel rhythms without cholesterol
After all, you must learn to
Examine the appetite
Within the nuclei
Within the presence of the omnivore's eye
That is I
And when sunlight shines off my throat
We call it the solarflex larynx lorax smoke
For the trees
This is real life, and I'm Vast Aire
I usually speak for calories[???]
Skinny MC's trying to start somethin'
Bulimic MC's trying to throw something up
I can fondle around the outskirts of diets
A donut at midnight ain't nuttin'
I'm a glutton!
Now let's build upon this issue
If the Highway to Heaven is narrow, then sinners acts as fat tissue
And as one can see, I have no space!
But I remain on the positive scale-weight of the galaxy
What' you wanna fix fallacy?
You can run around the world twice chasin' chastity
And all that - you nah'mean?
It's T-1 and Vast Aire
The bassline is like biscuits and gravy, nah'mean?
Yo I'm Vast Aire, I'm not a hard MC
I'm not a hard MC - I'm Vast Aire
I'm not a hard MC - I'm difficult
I'll stand up brewin' hot pots of piety hip-hop
The gluttony inside of me won't stop
Yo, it won't stop
If you can't have your cake and eat it, you never had it
Anyway, plus it ain't even your birthday gimme that!
Now you cramped up my flow has that ability
You should have waited 30 minutes to press play
Oh, you'e a fad MC? Well if you don't say
You grab at the mic, and all I see is a ribcage
Vast is the vitamin MC you never believed in
So I vanished you, due to malnutrition
MCs are too bloated
Thought they were fat but they only retained water
You know them the sluggish type, they get led to the slaughter
Is you fugeze?
The Ethiopians praise me
The Black god chubby thoughts and a chubby belly
You feelin me? (YEAH!) You feelin me? (YEAH!)
Do you wanna hear a little more? (HELL YEAH!)
The beautiful balance of life
You don't want me to sit on the other end of the see-saw
'Cause you're afraid you might see more
You might see more
T-1, he up on it, you know what I'm sayin'?
Yo, I'm Vast Aire I been on it
Vordul, he up in here... uh, what?
[ad libs and samples until end]"
186881	Rock	"He said he'd be here at seven
The clock just hit 7:22
It's too cold outside
To wait for my ride
Watching mama try out a new doo (Bruins)
He said he'd be here at seven
But it just hit 7:35 (already?)
Here in Brockton, Mass.,
I got my thumb in my ass
Mama's combing up a big beehive (Celtics)
Where the fuck is he?
Where the fuck is he?
The bitch doesn't even bother calling
Even though it's 7:44 (I fell asleep, pally)
I'm feeling kinda antsy
Mama's getting fancy
Slicking back a wet pompadour (Red Sox)
He said he'd be here at seven
It's closing in on 8:01 (Trimmin' the 'stache, kid)
Me lookin' like a sap
In a wool knit cap
Mama's next move is a bun (fuckin' Patriots)
Where the fuck is he? (My pants are still in the dryer, dude)
Where the fuck is he? (I couldn't find my fuckin' snowboots, pal)
I wish I had a car (Huge, huge hangover)
Oh, no (Massive hailstorm, massive hailstorm, massive)
That stupid little punk
He's probably fuckin' drunk
I bet he drank a case
Wanna pop him in the face right now
Mama's eyebrow
Wicked good
Wicked good (Oh, GOD)
Wicked good
Wicked good (Fuck yeah)
Wicked good
Wicked good (Pisser?)
Well my friend is still a no-show
And I'm getting' fucking pissed (Why?)
'Cause I could've gone with Charlie
In the side of his Harley
Mama's on the phone with a stylist (Fuck Charlie!)
So I guess I ain't going out tonight
'Cause the digits say 12:09 (Shit-faced)
But call the operator
'Cause one perm later
Mama's hair sure do look fine (Heffenreffer!!!)
Where the fuck"
294994	Rock	"Wir waren mehr als Freunde
wir warn wie Brder
viele Jahre sangen wir
die gleichen Lieder
nur die Besten sterben jung
Du warst der Beste
nur noch Erinnerung
sag mir warum
CHORUS:
Nur die Besten sterben jung
Nur die Besten sterben jung
Die Zeit heilt Wunden
doch vergessen kann ich nicht
die Zeit heilt Wunden
doch ich denke oft an Dich
ganz egal,wo Du auch bist
du weit so gut wie ich
irgendwann sehn wir uns wieder
in meinen Trumen
in unsren Liedern"
182846	Rock	"bokura ha sonna ni mo ooku no koto nado
nozondari ha shite inai yo zutto
haiiro no biru no kage ni kakurete
jitto shite ru mono ha nan darou tte
mo wo kosuri nagara mo nozoki konda n da
jibun dattari ano ko ya kimi datta
kodoku de nani mo mienaku natta n janai
mou nani mo mitaku nakatta n da
bokura ha kitto shawase ni naru tame ni
umarete kita n datte
omou hi ga atte mo ii n da yo ne
hora mimi wo sumaseba kikoete kuru
uchi ni himeta inori ni nita sakebi ga
itsu ka ano kawa de nagarete ta mono ha
kowareta yume no kakera datta ne
mamorarenakatta yokusoku ni ichiichi
kizu tuite mitari shite ta n da
bokura ha itsu ka shiawase ni naru tame ni
ikite iku n datte
omou hi ga atte mo ii n da yo ne
kono hitomi ni utsuru mono ga subete
kirei na wake ja nai koto wo shitte mo
me no mae no higeki ni sae taiou dekizu ni
tooku no higeki ni nado te ga todoku hazu mo naku
bokura ha kitto shiawase ni naru tame ni
umarete kita n datte
omou hi ga atte mo ii n da yo ne
hontou ha tobira wo hirakitai n datte
kuchi ni dashite itte mireba ii
kuchi ni dashite itte mireba ii"
315968	Pop	"Love is free love is love
The world united
I have this message
This message
This message to say
I have this message
This message
This message to say
I have this message
Come on baby take the chance
Love is love let's come together
Love is free it lasts forever
Love is love my contribution
Hail the sexual revolution
The greatest love is yet to come
You gotta fight keep hanging on
We'll be together
Together some day
We'll be together
We'll be together
Together some day
We'll be together
Me and you me and you
Me and you me and you
I love you
Come on baby come on baby
Come on baby take the chance
I love you
Stand together black and white
Sleep united hold on tight
Tonight
Love is love let's come together
Love is free it lasts forever
Love is love my contribution
Hail the sexual revolution
Oaah oaah oaah yeah yeah
Oaah oaah oaah yeah yeah
Oaah oaah oaah yeah yeah
Oaah oaah oaah yeah yeah
Come on baby come on baby
Come on baby take the chance
Come on baby come on baby
Come on baby take the chance
I love you
Come on baby come on baby
Come on baby take the chance
Come on baby come on baby
I see the light in your eyes
A sparkle from paradise
Me and you me and you
Me and you me and you
I love you
Come on baby come on baby
Come on baby take the chance
I love you
Stand together black and white
Sleep united straight and gay
Sleep united night and day
Tonight
Love is love let's come together
Love is free it lasts forever
Love is love my contribution
Hail the sexual revolution
Love is love the world united
Love is free I'm so excited
Love is love our constitution
Hail the sexual revolution
Oaah oaah oaah yeah yeah
Oaah oaah oaah yeah yeah
Oaah oaah oaah yeah yeah
Oaah oaah oaah yeah yeah
Come on baby take the chance
Love is love the world united
Love is free I'm so excited
Love is love our constitution
Hail the sexual revolution"
242844	Hip-Hop	"Yeah, it's time to get crunked up in this bitch
You know what I'm talkin' about
Yeah, Eightball and MJG, for my real niggaz
Layin' it down for all my real niggaz
Yeah, uh
Let's get it crunk up in this bitch
Where ya at?
Where ya at huh? Where ya at huh?
Where ya at? Where ya at huh?
This for all them real gangsta-ass nigga
Yeah for all them real, gangsta-ass bitches yaknowhamsayin'?
My brothers gettin' money out here yaknowhamsayin'?
Real underground lovin' muh'fuckers, get the club buck
Yaknahmtalkin''bout? Yeah, yeah
MJ, G up in yo shit like some toilet paper
Get fresh wit' me nigga I'ma spoil it later
You'll float backside up in a swamp of gators
Then you'se a snack-sized nigga, formerly a hater
Heavy weighters, street poetry creators
Double-barrel blast for you pimp game perpetrators
Can't touch us, I know you wanna be us
Fake-ass rappers can't fuck wit' what we bust
Whoa, do you really wanna get crunk?
Hey, do you really wanna get buck?
Whoa, do you really wanna get crunk?
Hey, all my players, all my gangstas
Whoa, do you really wanna get crunk?
Hey, do you really wanna get buck?
Whoa, do you really wanna get crunk?
Hey, all my hustlers, all my grinders
Roll through, one deep, heat in the waistband
Jealous-ass niggaz might try and touch a made man
Crazy rap fans, followin' my rap van
Wanna get a hug, wanna shake a playa hand
Smoke somethin', I'm a fiend for the sticky green
My whole team, keep it clean like a pinky ring
Hardcore like a scene in Cabrini Green
Plenty green get a young nigga anything
Excursion, escalade with the big rims
Denim suits, soulja rag with my gold Timbs
Poppin' pills like a nigga eatin' M&M;'s
Shoppin' deals at the table wit the best of them
Leave the rest of them, way in the back
Weak-ass rappers get smoked like a sack
Fat Boy did that, didn't nobody help me
MJ to the G
Do you really wanna get buck?
Then tell the truth, I don't give a fuck
Each day is a blessin', I'ma live it up
Put ya best south fit in the cleaner
Da, da, dun, da, dun, hit the horn like Leana
I never seen a, party crunker than the one I'm in
Bitch pullin' contest we done won again
We hit the scene all the women start swarmin' in
I feel like I died, went to heaven and born again
Pimp tight, MJ fuckin' G
Death wish meant for anybody touchin' me
I'ma hit the dancefloor with a attitude
Who's the killer now? Tell me who's the badder dude?
Who's the one who ain't afraid to let the bullets fly?
If you know you ain't gon' use it, why you pull it why?
Do you really wanna kill me and do time?
And leave ya kids and ya girlfriend left behind?
Whoa, do you really wanna get crunk?
Hey, do you really wanna get buck?
Whoa, do you really wanna get crunk?
Hey, all my players, all my gangstas
Whoa, do you really wanna get crunk?
Hey, do you really wanna get buck?
Whoa, do you really wanna get crunk?
Hey, all my hustlers, all my grinders
Do you really wanna hit the sauna
With some bitches and marijuana?
Sailboats offa the beaches of California
Getcha game tighter as a fist and the ice that's on it
Y'all ain't crunker than us, ghetto performers
Street roamers, still keepin' the heat on us
Corner on a nice day, nigga just thought I'd warn ya
Eightball and MJG, we the buckest
Dope shit nigga, roll us up in the Duchess
One of the hardest niggaz that you will ever meet
Two of the hardest niggaz to bust over beats
It's all real, never fantasy or incomplete
Incomplete emcees just can't compete
Hear defeat, I'm elite when I grab a sheet
Grab a pen and compose what my life hold
Fuck what a nigga stole I'ma still roll
Fifty deep, fifty feet from you weak hoes
Whoa, do you really wanna get crunk?
Hey, do you really wanna get buck?
Whoa, do you really wanna get crunk?
Hey, all my players, all my gangstas
Whoa, do you really wanna get crunk?
Hey, do you really wanna get buck?
Whoa, do you really wanna get crunk?
Hey, all my hustlers, all my grinders
Whoa, do you really wanna get crunk?
Hey, do you really wanna get buck?
Whoa, do you really wanna get crunk?
Hey, all my players, all my gangstas
Whoa, do you really wanna get crunk?
Hey, do you really wanna get buck?
Whoa, do you really wanna get crunk?
Hey, all my hustlers, all my grinders
Whoa, do you really wanna get crunk?
Hey, do you really wanna get buck?
Whoa, do you really wanna get crunk?
Hey, all my players, all my gangstas"
